City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,Sitka,57.0531,-135.33,10.49,84,19,1.41,US,1663391034
146,Tsiroanomandidy,-18.7667,46.0333,19.66,47,0,3.74,MG,1663391034
147,San Jose,37.3394,-121.895,16.89,72,75,2.57,US,1663390791
148,Beringovskiy,63.05,179.3167,7.48,93,100,7.35,RU,1663391034
149,Tuktoyaktuk,69.4541,-133.0374,3.55,83,91,0.43,CA,1663391035
150,Bastia,42.6667,9.3333,22.63,45,20,4.12,FR,1663391035
151,Nikolskoye,59.7035,30.7861,8.94,87,91,3.03,RU,1663391035
152,Srednekolymsk,67.45,153.6833,3.72,63,98,3.84,RU,1663391035
153,Hofn,64.2539,-15.2082,8.68,67,99,2.53,IS,1663391036
154,Saint Anthony,45.0205,-93.218,20.52,91,40,2.57,US,1663391036
155,Bambanglipuro,-7.95,110.2833,28.84,63,93,6.6,ID,1663391036
156,Shingu,33.7333,135.9833,26.06,93,100,7.48,JP,1663391036
157,Impfondo,1.6381,18.0667,20.87,98,32,1.33,CG,1663391036
158,Qaqortoq,60.7167,-46.0333,9.76,78,100,4.12,GL,1663391037
159,Lusambo,-4.9667,23.45,21.75,91,96,0.75,CD,1663391037
160,Mitsamiouli,-11.3847,43.2844,24.09,69,1,3.17,KM,1663391037
161,Souillac,-20.5167,57.5167,22.14,72,13,8.14,MU,1663391037
162,Vysokogornyy,50.1167,139.15,16.0,64,100,3.36,RU,1663391037
163,Guerrero Negro,27.9769,-114.0611,20.65,80,0,6.86,MX,1663391038
164,Klaksvik,62.2266,-6.589,9.51,76,100,4.04,FO,1663391038
165,Varkaus,62.3153,27.873,9.61,97,99,2.05,FI,1663391038
166,Rawson,-43.3002,-65.1023,7.18,80,100,5.5,AR,1663391038
167,Encruzilhada Do Sul,-30.5439,-52.5219,9.96,82,0,3.56,BR,1663391039
168,Shelburne,44.0787,-80.2041,14.09,98,99,3.27,CA,1663391040
169,Castro,-24.7911,-50.0119,9.35,89,87,3.83,BR,1663390995
170,Monzon,41.9108,0.1941,13.75,62,19,0.71,ES,1663391040
171,Airai,-8.9266,125.4092,27.93,23,50,1.83,TL,1663391041
172,Chuy,-33.6971,-53.4616,12.53,84,4,3.51,UY,1663391041
173,Abong Mbang,3.9833,13.1833,19.16,98,100,1.16,CM,1663391041
174,Muzhi,65.3667,64.6667,11.65,61,100,4.54,RU,1663391041
175,Shirokiy,49.758,129.523,18.64,66,63,5.84,RU,1663391042
176,George,-33.963,22.4617,13.71,85,99,1.96,ZA,1663391042
177,Tukrah,32.5341,20.5791,23.52,49,0,1.08,LY,1663391042
178,Barrow,71.2906,-156.7887,1.01,86,100,13.38,US,1663391042
179,Yerbogachen,61.2767,108.0108,6.79,56,59,5.73,RU,1663391042
180,Hede,33.7681,120.2517,25.42,81,41,4.83,CN,1663391043
181,Lorengau,-2.0226,147.2712,29.67,63,63,4.5,PG,1663391043
182,Giyon,8.5333,37.9833,15.22,87,9,0.35,ET,1663391043
183,Bushehr,28.9684,50.8385,31.05,40,0,3.09,IR,1663391043
184,Manuk Mangkaw,4.8,119.85,28.61,73,98,3.46,PH,1663390996
185,Padang,-0.9492,100.3543,30.03,74,74,2.53,ID,1663390868
186,Prince Rupert,54.3161,-130.3201,9.89,84,34,1.55,CA,1663391044
187,Bonavista,48.6499,-53.1147,12.18,88,53,6.64,CA,1663391044
188,Mercedes,-34.6515,-59.4307,17.58,83,100,5.48,AR,1663391045
189,Khani,41.9563,42.9566,15.76,45,13,1.26,GE,1663391045
190,Fortuna,40.5982,-124.1573,12.59,87,35,1.2,US,1663391045
191,Faanui,-16.4833,-151.75,25.43,74,60,9.94,PF,1663391045
192,Clyde River,70.4692,-68.5914,1.99,89,99,4.48,CA,1663390942
193,Ransang,8.9603,117.5828,30.07,67,100,4.43,PH,1663391046
194,Kununurra,-15.7667,128.7333,37.99,8,40,3.6,AU,1663391047
195,Moron,-34.6534,-58.6198,17.81,76,100,4.95,AR,1663391047
196,Xai-Xai,-25.0519,33.6442,20.56,69,0,4.21,MZ,1663391047
197,Manggar,-2.8833,108.2667,27.77,77,99,4.21,ID,1663391047
198,Lompoc,34.6391,-120.4579,15.29,92,0,4.12,US,1663391047
199,Marzuq,14.4,46.4667,29.25,25,99,2.06,YE,1663391048
200,Grong,64.4654,12.3149,10.6,96,99,1.08,NO,1663391048
201,Trogir,43.5125,16.2517,20.03,88,0,0.51,HR,1663391048
202,Micheweni,-4.9667,39.8333,25.07,70,53,4.18,TZ,1663391048
203,Ilulissat,69.2167,-51.1,2.01,100,20,3.09,GL,1663391049
204,Maple Creek,49.9168,-109.4848,14.19,78,100,4.2,CA,1663391049
205,Eureka,40.8021,-124.1637,12.74,88,15,1.67,US,1663390847
206,Zyryanovsk,49.7386,84.2719,13.48,39,2,0.96,KZ,1663391050
207,Bireun,5.203,96.7009,29.64,64,90,2.89,ID,1663391050
208,Trofors,65.5333,13.4063,5.93,88,100,0.7,NO,1663391051
209,Biskamzha,53.4497,89.5272,10.59,48,87,3.57,RU,1663391051
210,Larimna,38.5667,23.2833,20.9,61,0,1.87,GR,1663391051
211,Maniitsoq,65.4167,-52.9,8.01,83,100,2.41,GL,1663391051
212,Aklavik,68.2191,-135.0107,2.85,95,84,3.26,CA,1663391052
213,Mahon,39.8885,4.2658,22.31,78,40,5.14,ES,1663391052
214,Callaguip,18.0714,120.4867,28.78,72,62,7.19,PH,1663391052
215,Pisco,-13.7,-76.2167,14.61,90,14,0.89,PE,1663391052
216,Provideniya,64.3833,-173.3,6.78,95,100,15.52,RU,1663391053
217,Sao Filipe,14.8961,-24.4956,25.46,82,16,3.85,CV,1663391053
218,Ribeira Grande,38.5167,-28.7,22.92,85,36,3.97,PT,1663391053
219,Kaduqli,11.0167,29.7167,22.03,92,100,1.48,SD,1663391054
